"ID","name","email","stardustCollection","wormholeNavigation","originPlanet_ID","position_ID","spaceSuitColor"
"9c999999-9999-4999-8999-999999999999","SpaceFarer One","spacefarer-001@galactic.example","85","3","11111111-1111-4111-8111-111111111111","11111111-0001-4111-8111-111111111111","RED"
"8b888888-8888-4888-8888-888888888888","SpaceFarer Two","spacefarer-002@galactic.example","120","6","11111111-1111-4111-8111-111111111111","11111111-0003-4111-8111-111111111111","BLUE"
"7a777777-7777-4777-8777-777777777777","SpaceFarer Three","spacefarer-003@galactic.example","155","9","11111111-1111-4111-8111-111111111111","11111111-0001-4111-8111-111111111111","GREEN"
"10000000-0000-4000-8000-000000000004","SpaceFarer 04","spacefarer-004@galactic.example","190","1","11111111-1111-4111-8111-111111111111","11111111-0003-4111-8111-111111111111","YELLOW"
"10000000-0000-4000-8000-000000000005","SpaceFarer 05","spacefarer-005@galactic.example","225","4","11111111-1111-4111-8111-111111111111","11111111-0001-4111-8111-111111111111","BLACK"
"10000000-0000-4000-8000-000000000006","SpaceFarer 06","spacefarer-006@galactic.example","260","7","11111111-1111-4111-8111-111111111111","11111111-0003-4111-8111-111111111111","WHITE"
"10000000-0000-4000-8000-000000000007","SpaceFarer 07","spacefarer-007@galactic.example","295","10","11111111-1111-4111-8111-111111111111","11111111-0001-4111-8111-111111111111","RED"
"10000000-0000-4000-8000-000000000008","SpaceFarer 08","spacefarer-008@galactic.example","60","2","11111111-1111-4111-8111-111111111111","11111111-0003-4111-8111-111111111111","BLUE"
"10000000-0000-4000-8000-000000000009","SpaceFarer 09","spacefarer-009@galactic.example","95","5","11111111-1111-4111-8111-111111111111","11111111-0001-4111-8111-111111111111","GREEN"
"10000000-0000-4000-8000-000000000010","SpaceFarer 10","spacefarer-010@galactic.example","130","8","11111111-1111-4111-8111-111111111111","11111111-0003-4111-8111-111111111111","YELLOW"
"10000000-0000-4000-8000-000000000011","SpaceFarer 11","spacefarer-011@galactic.example","165","0","11111111-1111-4111-8111-111111111111","11111111-0001-4111-8111-111111111111","BLACK"
"10000000-0000-4000-8000-000000000012","SpaceFarer 12","spacefarer-012@galactic.example","200","3","11111111-1111-4111-8111-111111111111","11111111-0003-4111-8111-111111111111","WHITE"
"10000000-0000-4000-8000-000000000013","SpaceFarer 13","spacefarer-013@galactic.example","235","6","11111111-1111-4111-8111-111111111111","11111111-0001-4111-8111-111111111111","RED"
"10000000-0000-4000-8000-000000000014","SpaceFarer 14","spacefarer-014@galactic.example","270","9","11111111-1111-4111-8111-111111111111","11111111-0003-4111-8111-111111111111","BLUE"
"10000000-0000-4000-8000-000000000015","SpaceFarer 15","spacefarer-015@galactic.example","305","1","11111111-1111-4111-8111-111111111111","11111111-0001-4111-8111-111111111111","GREEN"
"10000000-0000-4000-8000-000000000016","SpaceFarer 16","spacefarer-016@galactic.example","70","4","11111111-1111-4111-8111-111111111111","11111111-0003-4111-8111-111111111111","YELLOW"
"10000000-0000-4000-8000-000000000017","SpaceFarer 17","spacefarer-017@galactic.example","105","7","11111111-1111-4111-8111-111111111111","11111111-0001-4111-8111-111111111111","BLACK"
"10000000-0000-4000-8000-000000000018","SpaceFarer 18","spacefarer-018@galactic.example","140","10","11111111-1111-4111-8111-111111111111","11111111-0003-4111-8111-111111111111","WHITE"
"10000000-0000-4000-8000-000000000019","SpaceFarer 19","spacefarer-019@galactic.example","175","2","11111111-1111-4111-8111-111111111111","11111111-0001-4111-8111-111111111111","RED"
"10000000-0000-4000-8000-000000000020","SpaceFarer 20","spacefarer-020@galactic.example","210","5","11111111-1111-4111-8111-111111111111","11111111-0003-4111-8111-111111111111","BLUE"
"10000000-0000-4000-8000-000000000021","SpaceFarer 21","spacefarer-021@galactic.example","245","8","11111111-1111-4111-8111-111111111111","11111111-0001-4111-8111-111111111111","GREEN"
"10000000-0000-4000-8000-000000000022","SpaceFarer 22","spacefarer-022@galactic.example","280","0","11111111-1111-4111-8111-111111111111","11111111-0003-4111-8111-111111111111","YELLOW"
"10000000-0000-4000-8000-000000000023","SpaceFarer 23","spacefarer-023@galactic.example","315","3","11111111-1111-4111-8111-111111111111","11111111-0001-4111-8111-111111111111","BLACK"
"10000000-0000-4000-8000-000000000024","SpaceFarer 24","spacefarer-024@galactic.example","80","6","11111111-1111-4111-8111-111111111111","11111111-0003-4111-8111-111111111111","WHITE"
"10000000-0000-4000-8000-000000000025","SpaceFarer 25","spacefarer-025@galactic.example","115","9","11111111-1111-4111-8111-111111111111","11111111-0001-4111-8111-111111111111","RED"
"10000000-0000-4000-8000-000000000026","SpaceFarer 26","spacefarer-026@galactic.example","150","1","11111111-1111-4111-8111-111111111111","11111111-0003-4111-8111-111111111111","BLUE"
"10000000-0000-4000-8000-000000000027","SpaceFarer 27","spacefarer-027@galactic.example","185","4","11111111-1111-4111-8111-111111111111","11111111-0001-4111-8111-111111111111","GREEN"
"10000000-0000-4000-8000-000000000028","SpaceFarer 28","spacefarer-028@galactic.example","220","7","11111111-1111-4111-8111-111111111111","11111111-0003-4111-8111-111111111111","YELLOW"
"10000000-0000-4000-8000-000000000029","SpaceFarer 29","spacefarer-029@galactic.example","255","10","11111111-1111-4111-8111-111111111111","11111111-0001-4111-8111-111111111111","BLACK"
"10000000-0000-4000-8000-000000000030","SpaceFarer 30","spacefarer-030@galactic.example","290","2","11111111-1111-4111-8111-111111111111","11111111-0003-4111-8111-111111111111","WHITE"
"10000000-0000-4000-8000-000000000031","SpaceFarer 31","spacefarer-031@galactic.example","55","5","11111111-1111-4111-8111-111111111111","11111111-0001-4111-8111-111111111111","RED"
"20000000-0000-4000-8000-000000000032","SpaceFarer 32","spacefarer-032@galactic.example","90","8","22222222-2222-4222-8222-222222222222","22222222-0001-4222-8222-222222222222","BLUE"
"20000000-0000-4000-8000-000000000033","SpaceFarer 33","spacefarer-033@galactic.example","125","0","22222222-2222-4222-8222-222222222222","22222222-0003-4222-8222-222222222222","GREEN"
"20000000-0000-4000-8000-000000000034","SpaceFarer 34","spacefarer-034@galactic.example","160","3","22222222-2222-4222-8222-222222222222","22222222-0001-4222-8222-222222222222","YELLOW"
"20000000-0000-4000-8000-000000000035","SpaceFarer 35","spacefarer-035@galactic.example","195","6","22222222-2222-4222-8222-222222222222","22222222-0003-4222-8222-222222222222","BLACK"
"20000000-0000-4000-8000-000000000036","SpaceFarer 36","spacefarer-036@galactic.example","230","9","22222222-2222-4222-8222-222222222222","22222222-0001-4222-8222-222222222222","WHITE"
"20000000-0000-4000-8000-000000000037","SpaceFarer 37","spacefarer-037@galactic.example","265","1","22222222-2222-4222-8222-222222222222","22222222-0003-4222-8222-222222222222","RED"
"20000000-0000-4000-8000-000000000038","SpaceFarer 38","spacefarer-038@galactic.example","300","4","22222222-2222-4222-8222-222222222222","22222222-0001-4222-8222-222222222222","BLUE"
"20000000-0000-4000-8000-000000000039","SpaceFarer 39","spacefarer-039@galactic.example","65","7","22222222-2222-4222-8222-222222222222","22222222-0003-4222-8222-222222222222","GREEN"
"20000000-0000-4000-8000-000000000040","SpaceFarer 40","spacefarer-040@galactic.example","100","10","22222222-2222-4222-8222-222222222222","22222222-0001-4222-8222-222222222222","YELLOW"
"20000000-0000-4000-8000-000000000041","SpaceFarer 41","spacefarer-041@galactic.example","135","2","22222222-2222-4222-8222-222222222222","22222222-0003-4222-8222-222222222222","BLACK"
"20000000-0000-4000-8000-000000000042","SpaceFarer 42","spacefarer-042@galactic.example","170","5","22222222-2222-4222-8222-222222222222","22222222-0001-4222-8222-222222222222","WHITE"
"20000000-0000-4000-8000-000000000043","SpaceFarer 43","spacefarer-043@galactic.example","205","8","22222222-2222-4222-8222-222222222222","22222222-0003-4222-8222-222222222222","RED"
"20000000-0000-4000-8000-000000000044","SpaceFarer 44","spacefarer-044@galactic.example","240","0","22222222-2222-4222-8222-222222222222","22222222-0001-4222-8222-222222222222","BLUE"
"20000000-0000-4000-8000-000000000045","SpaceFarer 45","spacefarer-045@galactic.example","275","3","22222222-2222-4222-8222-222222222222","22222222-0003-4222-8222-222222222222","GREEN"
"20000000-0000-4000-8000-000000000046","SpaceFarer 46","spacefarer-046@galactic.example","310","6","22222222-2222-4222-8222-222222222222","22222222-0001-4222-8222-222222222222","YELLOW"
"20000000-0000-4000-8000-000000000047","SpaceFarer 47","spacefarer-047@galactic.example","75","9","22222222-2222-4222-8222-222222222222","22222222-0003-4222-8222-222222222222","BLACK"
"20000000-0000-4000-8000-000000000048","SpaceFarer 48","spacefarer-048@galactic.example","110","1","22222222-2222-4222-8222-222222222222","22222222-0001-4222-8222-222222222222","WHITE"
"20000000-0000-4000-8000-000000000049","SpaceFarer 49","spacefarer-049@galactic.example","145","4","22222222-2222-4222-8222-222222222222","22222222-0003-4222-8222-222222222222","RED"
